Neuron Input Output
ADAL 0.9996481366435715 0.9996481366435715
ADAR 0.9999522631634559 0.9999522631634559
ADFL 0.9999933801219735 0.9999933801219735
AIBL 1 1
AIBR 1 1
ASHL 0.9996097136868427 0.9996097136868427
AVAR 1 1
AVBL 1 1
AVBR 1 1
AVDL 1 1
AVDR 1 1
AVEL 1 1
AVJR 0.9999999999999973 0.9999999999999973
FLPR 0.9524992877618351 0.9524992877618351
PVQL 0.9999999994377451 0.9999999994377451
RICL 0.9999999992024773 0.9999999992024773
RICR 0.9999999974946756 0.9999999974946756
RIML 1 1
RIPL 1 1
SMDVR 1 1
ADFR 0.9999998854928118 0.9999998854928118
ASHR 0.9999960464270177 0.9999960464270177
AVAL 1 1
AVJL 1 1
PVQR 0.9999999999699187 0.9999999999699187
RIMR 1 1
RIPR 1 1
RIVR 0.9996646169738784 0.9996646169738784
SMDVL 0.9999999999999971 0.9999999999999971
ADEL 0.9999496160764118 0.9999496160764118
ADER 0.9998261172372209 0.9998261172372209
AINL 0.5 0.5
AVKR 0.999999999962236 0.999999999962236
AVL 0.9999999999770421 0.9999999999770421
BDUL 0.9999965634066358 0.9999965634066358
CEPDL 0.9999534778034703 0.9999534778034703
FLPL 0.9988703999473224 0.9988703999473224
IL1L 0.9815881061277872 0.9815881061277872
IL2L 0.9765923903089133 0.9765923903089133
OLLL 0.9996645398493949 0.9996645398493949
RIAL 1 1
RIFL 0.9996585285202052 0.9996585285202052
RIGL 0.9999999999999993 0.9999999999999993
RIGR 0.9999999999997333 0.9999999999997333
RIH 0.9999999999971632 0.9999999999971632
RIVL 0.99752719865552 0.99752719865552
RMDL 1 1
RMGL 0.9999938067602763 0.9999938067602763
RMHL 0.9999938017228849 0.9999938017228849
SIADR 0.9525697487356115 0.9525697487356115
SIBDR 0.9989736743246349 0.9989736743246349
SMBDR 0.9999999543666146 0.9999999543666146
URBL 0.9996400631570233 0.9996400631570233
ALA 0.9452205197975477 0.9452205197975477
AVER 1 1
AVKL 1 1
CEPDR 0.997935770317293 0.997935770317293
OLLR 0.9999999999579314 0.9999999999579314
PVR 0.9999987287053188 0.9999987287053188
RMDR 1 1
SAAVR 0.9999423689255413 0.9999423689255413
AIZL 1 1
AUAL 0.9999986288773411 0.9999986288773411
OLQVL 0.9999999740644789 0.9999999740644789
RIR 0.999999999896342 0.999999999896342
SMBVL 0.9999999961235297 0.9999999961235297
AIAR 1 1
AIYR 1 1
AIZR 1 1
AUAR 0.9999957823844058 0.9999957823844058
AWBR 0.9975212049118313 0.9975212049118313
PVPR 0.9999832976413402 0.9999832976413402
RIAR 1 1
SMBVR 0.9999977340651706 0.9999977340651706
URXR 0.9999967991289775 0.9999967991289775
ADLL 0.9241382311733175 0.9241382311733175
ADLR 0.9820136124816469 0.9820136124816469
AIAL 1 1
ASER 0.999999268526191 0.999999268526191
AWBL 0.9918442058032967 0.9918442058032967
AWCR 0.999993515076074 0.999993515076074
PVCL 1 1
AFDL 0.9999065283907047 0.9999065283907047
AFDR 0.9999984252492815 0.9999984252492815
AINR 0.878722358265843 0.878722358265843
AIYL 1 1
AIML 0.9820137891213956 0.9820137891213956
ASGL 0.9804799815955383 0.9804799815955383
ASIL 0.5 0.5
ASKL 0.9999999740551426 0.9999999740551426
AWAL 0.9525741268224331 0.9525741268224331
HSNL 0.9999868366251927 0.9999868366251927
ASGR 0.9980905931508396 0.9980905931508396
ASIR 0.5 0.5
AWAR 0.9975273003215681 0.9975273003215681
AWCL 0.9999977394754439 0.9999977394754439
RIFR 0.9999930433361672 0.9999930433361672
DVC 0.9999960886602404 0.9999960886602404
PVT 0.9999999822480529 0.9999999822480529
RIBR 1 1
SAADL 0.9999999998545885 0.9999999998545885
SAADR 0.9999999582626431 0.9999999582626431
SMDDR 1 1
DB1 0.7309722915184386 0.7309722915184386
RIBL 1 1
RIS 0.9999686074233287 0.9999686074233287
SMDDL 1 1
VB1 0.9996483416307281 0.9996483416307281
ALML 0.9923191285744034 0.9923191285744034
AVFL 0.9999999998726576 0.9999999998726576
AVFR 0.9999999821141335 0.9999999821141335
AVHL 0.9999999570660004 0.9999999570660004
AVHR 0.999994973720362 0.999994973720362
AIMR 0.8807792698293211 0.8807792698293211
ASJR 0.9405620872008498 0.9405620872008498
ASKR 0.9999697076832724 0.9999697076832724
HSNR 0.9999999995230515 0.9999999995230515
OLQDR 0.9999922746269871 0.9999922746269871
PVNR 0.9999999440169225 0.9999999440169225
RMGR 0.9998606914937523 0.9998606914937523
ASEL 0.9999861406613233 0.9999861406613233
BAGL 0.9890120704744231 0.9890120704744231
BAGR 0.9999682042745414 0.9999682042745414
RID 0.999997110554975 0.999997110554975
DVA 1 1
SMBDL 0.9999999972274123 0.9999999972274123
VB2 0.9990889488055994 0.9990889488055994
AVM 0.8757270527134182 0.8757270527134182
CEPVL 0.9999538345925977 0.9999538345925977
PVCR 1 1
RMDDR 1 1
SDQL 0.8799870972224244 0.8799870972224244
ALMR 0.7310563876586023 0.7310563876586023
BDUR 0.9999888563948021 0.9999888563948021
CEPVR 0.9999781435953231 0.9999781435953231
RMDDL 1 1
SIADL 0.9912420088901347 0.9912420088901347
ALNL 0.9525737293040734 0.9525737293040734
SAAVL 0.9999973940770784 0.9999973940770784
ALNR 0.8807824507023783 0.8807824507023783
RMHR 0.9999984518905002 0.9999984518905002
AQR 0.9999545909123791 0.9999545909123791
PVPL 0.9997963522487217 0.9997963522487217
URXL 0.999982484613235 0.999982484613235
AS1 0.9998385207301863 0.9998385207301863
DA1 0.9999999976653506 0.9999999976653506
VA3 0.9999999943952296 0.9999999943952296
VD1 1 1
VD2 1 1
AS10 0.9990889488055994 0.9990889488055994
AS11 0.999999632878434 0.999999632878434
PDA 0.8175744214387582 0.8175744214387582
PDB 0.731058506449518 0.731058506449518
VD13 0.9999999998882301 0.9999999998882301
AS2 0.9995611743270336 0.9995611743270336
